x,y,time
679080.1846,5134380.678,625
679076.8194,5134315.25,626
679156.768,5134733.756,627
678659.8009,5133727.348,628
679041.9357,5134882.248,629
678995.9634,5134807.083,630
678918.4842,5134964.312,631
678978.3214,5134607.608,632
678658.3526,5134498.101,633
678588.7673,5135207.89,634
679059.8354,5134713.088,635
678921.825,5134250.457,636
679182.0144,5134314.95,637
679201.4518,5134313.4,638
679095.2695,5134307.308,639
679562.2468,5134034.709,640
678951.737,5134312.423,641
679048.8265,5135367.329,642
678918.1673,5134274.954,643
677980.6254,5133117.395,644
678139.3218,5133398.617,645
676351.9015,5134360.047,646
678188.4848,5133506.107,647
679419.1075,5134764.386,648
677148.9255,5132674.47,649
679173.8932,5134730.866,650
679178.0028,5134730.987,651
679078.2892,5134425.165,652
679092.4657,5134402.674,653
679091.2915,5134402.639,654
679087.7189,5134404.231,655
679096.1255,5134398.115,656
679099.061,5134398.202,657
679094.227,5134402.726,658
679089.4678,5134404.707,659
679094.227,5134402.726,660
679080.9103,5134395.971,661
679084.2959,5134400.737,662
679086.1071,5134399.093,663
679087.2315,5134400.823,664
679085.808,5134409.266,665
679085.1586,5134411.368,666
679098.737,5134409.222,667
679097.0878,5134405.355,668
679093.615,5134403.556,669
679091.3538,5134400.52,670
679209.0061,5134735.717,671
679164.2755,5134738.219,672
679177.4157,5134730.969,673
679030.3939,5134715.192,674
678966.273,5133877.606,675
679137.0636,5133885.171,676
678651.6643,5133704.202,677
679165.0406,5134572.373,678
679161.8274,5134741.54,679
679140.5416,5134726.067,680
679132.9968,5134722.875,681
679137.6187,5134725.557,682
679161.3684,5134577.356,683
679098.9832,5134720.603,684
679082.657,5134716.305,685
678803.5385,5134056.088,686
678790.7606,5134070.985,687
678911.5707,5133799.217,688
678912.8571,5133795.437,689
679021.0052,5134314.882,690
679103.5835,5134404.273,691
679105.3698,5134403.478,692
679550.104,5134307.122,693
679068.1153,5134351.477,694
679065.3915,5134344.185,695
679176.809,5134831.491,696
679029.3592,5134130.594,697
679034.494,5134135.836,698
679007.613,5137348.054,699
679291.2132,5135755.406,700
678600.9522,5133689.989,701
678151.718,5135164.97,702
678453.325,5136921.984,703
678527.3968,5136098.636,704
680313.6755,5134656.75,705
679853.6128,5134277.472,706
679139.9919,5134724.778,707
679109.0296,5134398.919,708
679109.4547,5134404.446,709
679099.4363,5134405.424,710
679108.2306,5134406.107,711
679105.3698,5134403.478,712
679104.683,5134406.851,713
679094.1523,5134405.269,714
679101.2724,5134402.933,715
679100.7601,5134400.373,716
679098.5113,5134396.913,717
679094.8889,5134400.2,718
679101.2101,5134405.052,719
679107.7556,5134402.275,720
679101.098,5134408.867,721
679098.9489,5134402.016,722
679101.397,5134398.694,723
679101.5978,5134411.851,724
679106.1951,5134415.38,725
679104.0321,5134389.015,726
679206.556,5134699.162,727
679202.8599,5134724.931,728
679123.2432,5134754.829,729
679121.7324,5134766.238,730
679129.1152,5134774.94,731
678896.6496,5136087.415,732
679694.1503,5136454.943,733
680215.6277,5134892.259,734
678665.7319,5137509.815,735
679170.5079,5134726.1,736
679148.686,5134728.852,737
679180.1766,5134736.99,738
679191.9931,5134734.792,739
679007.3037,5133921.233,740
678624.6914,5133942.667,741
679169.7462,5134732.016,742
679167.9351,5134733.66,743
678935.4313,5133907.244,744
679015.6073,5134298.603,745
680074.3101,5137662.903,746
680109.8247,5137792.493,747
678712.1418,5135288.292,748
679611.6478,5134631.341,749
679069.4779,5134365.091,750
679072.2142,5134371.959,751
679068.9033,5134364.65,752
679069.4779,5134365.091,753
679072.8636,5134369.857,754
679070.065,5134365.109,755
679068.2663,5134366.329,756
679061.7706,5134367.41,757
679067.6792,5134366.311,758
679069.4156,5134367.211,759
679070.1024,5134363.837,760
679062.4325,5134364.884,761
679062.7315,5134354.712,762
679065.3681,5134364.971,763
679073.7747,5134358.855,764
679070.8017,5134360.04,765
679073.1875,5134358.837,766
679076.4984,5134366.146,767
679075.0376,5134375.86,768
679073.0006,5134365.195,769
679189.8952,5134746.184,770
679195.3161,5134741.677,771
679191.831,5134740.302,772
679196.1526,5134733.217,773
677824.5543,5133269.372,774
678887.8358,5134267.276,775
679663.9422,5136702.219,776
679225.9193,5134740.032,777
679224.2453,5134737.014,778
679226.6311,5134735.811,779
678510.508,5135312.073,780
679170.8581,5134734.17,781
679208.4263,5135174.763,782
678971.8363,5135827.884,783
