ID,x,y
SIMP02,593059.6253,4218990.276
SIMP02,593202.8767,4218348.271
SIMP02,593070.6818,4218537.188
SIMP02,593097.1934,4218519.07
SIMP02,593091.5315,4218500.472
SIMP02,592974.4351,4218519.442
SIMP02,593088.1091,4218546.709
SIMP02,593031.4625,4218516.431
SIMP02,593067.8724,4218529.831
SIMP02,593063.4052,4218537.105
SIMP02,593038.919,4218631.152
SIMP02,593067.894,4218527.945
SIMP02,593022.1247,4218566.262
SIMP02,593149.0949,4218197.841
SIMP02,592868.0628,4219004.734
SIMP02,593073.5533,4218539.107
SIMP02,593069.1279,4218542.719
SIMP02,592823.2002,4219348.128
SIMP02,593168.0371,4219353.956
SIMP02,593109.1958,4218872.435
